country,P__0__0,P__0__1,P__0__2,P__0__3,P__1__0,P__1__1,P__1__2,P__1__3,P__2__0,P__2__1,P__2__2,P__2__3,P__3__0,P__3__1,P__3__2,P__3__3,VA__0__0,VA__0__1,VA__1__0,VA__1__1,VA__2__0,VA__2__1,VA__3__0,VA__3__1
0,0.5,0.5129871583363592,0.01298715833635927,0.05670671176227796,0.4870128416636407,0.5,0.0,0.04371955342591869,0.9870128416636407,1.0,0.5,0.5437195534259187,0.943293288237722,0.9562804465740813,0.4562804465740813,0.5,-0.020347572078694507,-0.5277921644110932,-0.021499874161341498,-0.5576815294863728,0.022863259512826983,0.5930461470831997,0.01898418672720902,0.49242754681426626
1,0.5,0.5,0.0,0.07860558686155812,0.5,0.5,0.0,0.07860558686155812,1.0,1.0,0.5,0.5786055868615582,0.921394413138442,0.921394413138442,0.4213944131384419,0.5,-0.09456735043982299,-0.5859777041136587,-0.09456735043982299,-0.5859777041136587,0.11070272520065953,0.6859590381934905,0.07843197567898645,0.4859963700338269
2,0.5,0.5248125190970933,0.10003632618967329,0.024812519097093224,0.4751874809029068,0.5,0.07522380709258006,0.0,0.8999636738103266,0.92477619290742,0.5,0.42477619290741997,0.9751874809029069,1.0,0.57522380709258,0.5,-0.0872745380264749,-0.5299664299183936,-0.0974610733702574,-0.5918232084411776,0.07692660912650717,0.46712960419378574,0.10780900227022515,0.6546600341657857
3,0.5,0.6013868373052021,0.10138683730520218,0.1177956739746878,0.39861316269479785,0.5,0.0,0.016408836669485633,0.8986131626947979,1.0,0.5,0.5164088366694857,0.8822043260253122,0.9835911633305143,0.4835911633305144,0.5,-0.08439494744745388,-0.41378633601064996,-0.1347696945296892,-0.66077247265822,0.11365874263811358,0.5572659986675699,0.10550589933902947,0.5172928100013001
4,0.5,0.514952414412746,0.014952414412746027,0.037639244992351426,0.48504758558725397,0.5,0.0,0.0226868305796054,0.985047585587254,1.0,0.5,0.5226868305796054,0.9623607550076486,0.9773131694203946,0.4773131694203946,0.5,-0.11582428423464461,-0.6216372841214377,-0.12325349412353225,-0.6615103892220937,0.12517494304427051,0.6718229441112396,0.11390283531390634,0.6113247292322919
5,0.5,0.5,0.08430163710642662,0.0,0.5,0.5,0.08430163710642662,0.0,0.9156983628935734,0.9156983628935734,0.5,0.41569836289357337,1.0,1.0,0.5843016371064266,0.5,-0.06930545685730236,-0.6021152168152887,-0.06930545685730236,-0.6021152168152887,0.056544565912784076,0.4912505466113969,0.08206634780182066,0.7129798870191807
6,0.5,0.5,0.0,0.10209697901815085,0.5,0.5,0.0,0.10209697901815085,1.0,1.0,0.5,0.6020969790181508,0.8979030209818492,0.8979030209818492,0.39790302098184915,0.5,-0.10238198581663488,-0.5904139333057044,-0.10238198581663488,-0.5904139333057044,0.12566488210609705,0.7246811705287651,0.07909908952717269,0.45614669608264363
7,0.5,0.4833638248721868,0.0,0.05515591362009592,0.5166361751278132,0.5,0.01663617512781318,0.0717920887479091,1.0,0.9833638248721868,0.5,0.5551559136200959,0.9448440863799041,0.9282079112520909,0.4448440863799041,0.5,-0.0,-0.6409868410051449,-0.0,-0.5966237073309762,0.0,0.6923464923281885,0.0,0.5452640560079328
8,0.5,0.4428324075983831,0.02672481958834087,0.0,0.5571675924016168,0.5,0.08389241198995781,0.057167592401616944,0.9732751804116592,0.9161075880100421,0.5,0.4732751804116591,1.0,0.942832407598383,0.5267248195883408,0.5,-0.11749462345684138,-0.6869618485421839,-0.09142084266909721,-0.5345149354712057,0.09836322166004807,0.5751052992222402,0.1105522444658905,0.6463714847911493
9,0.5,0.557551656993385,0.08363793053643616,0.05755165699338508,0.4424483430066149,0.5,0.026086273543051076,0.0,0.9163620694635639,0.973913726456949,0.5,0.4739137264569489,0.9424483430066148,1.0,0.526086273543051,0.5,-0.10683450073023917,-0.4610153130104191,-0.13752871779337789,-0.5934678820798731,0.11522526965032825,0.49722340060059267,0.12913794887328878,0.5572597944896994
10,0.5,0.4830882208413069,0.0,0.06448623388559874,0.516911779158693,0.5,0.016911779158693054,0.08139801304429178,1.0,0.983088220841307,0.5,0.5644862338855987,0.9355137661144012,0.9186019869557082,0.4355137661144013,0.5,-0.09775223186006796,-0.5290865817021385,-0.09080926748582782,-0.49150760045795644,0.10751784378041458,0.5819432186386967,0.08104365556548117,0.43865096352139826
11,0.5,0.4566929906300684,0.0,0.011357440718076966,0.5433070093699316,0.5,0.04330700936993159,0.054664450088008555,1.0,0.9566929906300684,0.5,0.511357440718077,0.988642559281923,0.9453355499119914,0.488642559281923,0.5,-0.09278081898902116,-0.6879663791012364,-0.0772061827107903,-0.5724810207814188,0.08703575695127523,0.6453669542320969,0.08295124474853623,0.6150804456505583
