country,Egalitarian
0,0.11352885349434226
1,0.1539525567303619
2,0.17103515094204894
3,0.1348624319552223
4,0.1348624319552223
5,0.11352885349434226
6,0.17103515094204894
7,0.17103515094204894
8,0.17103515094204894
9,0.2
10,0.17103515094204894
11,0.033272350255626366
12,0.18632132787585207
13,0.1348624319552223
14,0.1539525567303619
15,0.06304575742717948
16,0.2
17,0.1539525567303619
18,0.2
19,0.033272350255626366
20,1.0
21,0.9135288534943423
22,0.8
23,1.0
24,0.9348624319552223
25,0.9348624319552223
26,0.8332723502556264
27,0.953952556730362
28,1.0
29,0.9348624319552223
